##Formulas are in linux filename wild-card
##Note switching from wild-card to regex formulas is by replacing '.*' by '*'
#Category	Sub-category	Source	Subtool
Histone variants and modifications (search by variant/modification)	H2AK5ac	Roadmap Epigenomics	Epigenomics2:MARK=H2AK5ac
Histone variants and modifications (search by variant/modification)	H2A.Z	Roadmap Epigenomics	Epigenomics2:MARK=H2A.Z
Histone variants and modifications (search by variant/modification)	H2AK9ac	Roadmap Epigenomics	Epigenomics2:MARK=H2AK9ac
Histone variants and modifications (search by variant/modification)	H2BK120ac	Roadmap Epigenomics	Epigenomics2:MARK=H2BK120ac
Histone variants and modifications (search by variant/modification)	H2BK12ac	Roadmap Epigenomics	Epigenomics2:MARK=H2BK12ac
Histone variants and modifications (search by variant/modification)	H2BK15ac	Roadmap Epigenomics	Epigenomics2:MARK=H2BK15ac
Histone variants and modifications (search by variant/modification)	H2BK20ac	Roadmap Epigenomics	Epigenomics2:MARK=H2BK20ac
Histone variants and modifications (search by variant/modification)	H2BK5ac	Roadmap Epigenomics	Epigenomics2:MARK=H2BK5ac
Histone variants and modifications (search by variant/modification)	H3K14ac	Roadmap Epigenomics	Epigenomics2:MARK=H3K14ac
Histone variants and modifications (search by variant/modification)	H3K18ac	Roadmap Epigenomics	Epigenomics2:MARK=H3K18ac
Histone variants and modifications (search by variant/modification)	H3K23ac	Roadmap Epigenomics	Epigenomics2:MARK=H3K23ac
Histone variants and modifications (search by variant/modification)	H3K23me2	Roadmap Epigenomics	Epigenomics2:MARK=H3K23me2
Histone variants and modifications (search by variant/modification)	H3K27ac	Roadmap Epigenomics	Epigenomics2:MARK=H3K27ac
Histone variants and modifications (search by variant/modification)	H3K27me3	Roadmap Epigenomics	Epigenomics2:MARK=H3K27me3
Histone variants and modifications (search by variant/modification)	H3K36me3	Roadmap Epigenomics	Epigenomics2:MARK=H3K36me3
Histone variants and modifications (search by variant/modification)	H3K4ac	Roadmap Epigenomics	Epigenomics2:MARK=H3K4ac
Histone variants and modifications (search by variant/modification)	H3K4me1	Roadmap Epigenomics	Epigenomics2:MARK=H3K4me1
Histone variants and modifications (search by variant/modification)	H3K4me2	Roadmap Epigenomics	Epigenomics2:MARK=H3K4me2
Histone variants and modifications (search by variant/modification)	H3K4me3	Roadmap Epigenomics	Epigenomics2:MARK=H3K4me3
Histone variants and modifications (search by variant/modification)	H3K56ac	Roadmap Epigenomics	Epigenomics2:MARK=H3K56ac
Histone variants and modifications (search by variant/modification)	H3K79me1	Roadmap Epigenomics	Epigenomics2:MARK=H3K79me1
Histone variants and modifications (search by variant/modification)	H3K79me2	Roadmap Epigenomics	Epigenomics2:MARK=H3K79me2
Histone variants and modifications (search by variant/modification)	H3K9ac	Roadmap Epigenomics	Epigenomics2:MARK=H3K9ac
Histone variants and modifications (search by variant/modification)	H3K9me1	Roadmap Epigenomics	Epigenomics2:MARK=H3K9me1
Histone variants and modifications (search by variant/modification)	H3K9me3	Roadmap Epigenomics	Epigenomics2:MARK=H3K9me3
Histone variants and modifications (search by variant/modification)	H3T11ph	Roadmap Epigenomics	Epigenomics2:MARK=H3T11ph
Histone variants and modifications (search by variant/modification)	H4K12ac	Roadmap Epigenomics	Epigenomics2:MARK=H4K12ac
Histone variants and modifications (search by variant/modification)	H4K20me1	Roadmap Epigenomics	Epigenomics2:MARK=H4K20me1
Histone variants and modifications (search by variant/modification)	H4K5ac	Roadmap Epigenomics	Epigenomics2:MARK=H4K5ac
Histone variants and modifications (search by variant/modification)	H4K8ac	Roadmap Epigenomics	Epigenomics2:MARK=H4K8ac
Histone variants and modifications (search by variant/modification)	H4K91ac	Roadmap Epigenomics	Epigenomics2:MARK=H4K91ac
Histone variants and modifications (search by variant/modification)	H2A.Z	ENCODE	Encode:Table Name=wgEncodeBroadHistone*H2az*
Histone variants and modifications (search by variant/modification)	H3K4me1	ENCODE	Encode:Table Name=*H3k04me1*
Histone variants and modifications (search by variant/modification)	H3K4me2	ENCODE	Encode:Table Name=*H3k04me2*
Histone variants and modifications (search by variant/modification)	H3K4me3	ENCODE	Encode:Table Name=*H3k04me3*
Histone variants and modifications (search by variant/modification)	H3K9ac	ENCODE	Encode:Table Name=wgEncodeBroadHistone*H3k0?9ac*
Histone variants and modifications (search by variant/modification)	H3K9me1	ENCODE	Encode:Table Name=wgEncodeBroadHistone*H3k9me1*
Histone variants and modifications (search by variant/modification)	H3K9me3	ENCODE	Encode:Table Name=*H3k09me3*
Histone variants and modifications (search by variant/modification)	H3K27ac	ENCODE	Encode:Table Name=*H3k27ac*
Histone variants and modifications (search by variant/modification)	H3K27me3	ENCODE	Encode:Table Name=*H3k27me3*
Histone variants and modifications (search by variant/modification)	H3K36me3	ENCODE	Encode:Table Name=*H3k36me3*
Histone variants and modifications (search by variant/modification)	H3K79me2	ENCODE	Encode:Table Name=wgEncodeBroadHistone*H3k79me2*
Histone variants and modifications (search by variant/modification)	H4K20me1	ENCODE	Encode:Table Name=wgEncodeBroadHistone*H4k20me1*
Open Chromatin (Search by Technology)	DNase HSS	Roadmap Epigenomics	Epigenomics2:MARK=DNase
Open Chromatin (Search by Technology)	DNase HSS	ENCODE	Encode:Table Name=*Dnase*
Open Chromatin (Search by Technology)	OpenChromChip	ENCODE	Encode:Table Name=wgEncodeOpenChromChip*
Open Chromatin (Search by Technology)	Faire	ENCODE	Encode:Table Name=wgEncodeOpenChromFaire*
Open Chromatin (Search by Technology)	Synthesis	ENCODE	Encode:Table Name=wgEncodeOpenChromSynth*
Open Chromatin (Search by Technology)	DNA footprinting	ENCODE	Encode:Table Name=wgEncodeUwDgf*
Transcription factor binding sites (search by cell/tissue type)	8988T	ENCODE	Encode:Cell=8988T
Transcription factor binding sites (search by cell/tissue type)	A549	ENCODE	Encode:Cell=A549
Transcription factor binding sites (search by cell/tissue type)	AG04449	ENCODE	Encode:Cell=AG04449
Transcription factor binding sites (search by cell/tissue type)	AG04450	ENCODE	Encode:Cell=AG04450
Transcription factor binding sites (search by cell/tissue type)	AG09309	ENCODE	Encode:Cell=AG09309
Transcription factor binding sites (search by cell/tissue type)	AG09319	ENCODE	Encode:Cell=AG09319
Transcription factor binding sites (search by cell/tissue type)	AG10803	ENCODE	Encode:Cell=AG10803
Transcription factor binding sites (search by cell/tissue type)	Adult_CD4_Th0	ENCODE	Encode:Cell=Adult_CD4_Th0
Transcription factor binding sites (search by cell/tissue type)	Adult_CD4_Th1	ENCODE	Encode:Cell=Adult_CD4_Th1
Transcription factor binding sites (search by cell/tissue type)	AoAF	ENCODE	Encode:Cell=AoAF
Transcription factor binding sites (search by cell/tissue type)	AoSMC	ENCODE	Encode:Cell=AoSMC
Transcription factor binding sites (search by cell/tissue type)	Astrocy	ENCODE	Encode:Cell=Astrocy
Transcription factor binding sites (search by cell/tissue type)	BC_Adrenal_Gland_H12803N	ENCODE	Encode:Cell=BC_Adrenal_Gland_H12803N
Transcription factor binding sites (search by cell/tissue type)	BC_Brain_H11058N	ENCODE	Encode:Cell=BC_Brain_H11058N
Transcription factor binding sites (search by cell/tissue type)	BC_Breast_02-03015	ENCODE	Encode:Cell=BC_Breast_02-03015
Transcription factor binding sites (search by cell/tissue type)	BC_Jejunum_H12817N	ENCODE	Encode:Cell=BC_Jejunum_H12817N
Transcription factor binding sites (search by cell/tissue type)	BC_Kidney_01-11002	ENCODE	Encode:Cell=BC_Kidney_01-11002
Transcription factor binding sites (search by cell/tissue type)	BC_Left_Ventricle_N41	ENCODE	Encode:Cell=BC_Left_Ventricle_N41
Transcription factor binding sites (search by cell/tissue type)	BC_Leukocyte_UHN00204	ENCODE	Encode:Cell=BC_Leukocyte_UHN00204
Transcription factor binding sites (search by cell/tissue type)	BC_Liver_01-11002	ENCODE	Encode:Cell=BC_Liver_01-11002
Transcription factor binding sites (search by cell/tissue type)	BC_Lung_01-11002	ENCODE	Encode:Cell=BC_Lung_01-11002
Transcription factor binding sites (search by cell/tissue type)	BC_Pancreas_H12817N	ENCODE	Encode:Cell=BC_Pancreas_H12817N
Transcription factor binding sites (search by cell/tissue type)	BC_Pericardium_H12529N	ENCODE	Encode:Cell=BC_Pericardium_H12529N
Transcription factor binding sites (search by cell/tissue type)	BC_Placenta_UHN00189	ENCODE	Encode:Cell=BC_Placenta_UHN00189
Transcription factor binding sites (search by cell/tissue type)	BC_Skeletal_Muscle_01-11002	ENCODE	Encode:Cell=BC_Skeletal_Muscle_01-11002
Transcription factor binding sites (search by cell/tissue type)	BC_Skeletal_Muscle_H12817N	ENCODE	Encode:Cell=BC_Skeletal_Muscle_H12817N
Transcription factor binding sites (search by cell/tissue type)	BC_Skin_01-11002	ENCODE	Encode:Cell=BC_Skin_01-11002
Transcription factor binding sites (search by cell/tissue type)	BC_Small_Intestine_01-11002	ENCODE	Encode:Cell=BC_Small_Intestine_01-11002
Transcription factor binding sites (search by cell/tissue type)	BC_Stomach_01-11002	ENCODE	Encode:Cell=BC_Stomach_01-11002
Transcription factor binding sites (search by cell/tissue type)	BC_Testis_N30	ENCODE	Encode:Cell=BC_Testis_N30
